Idiom	Context	Meaning	Explanation	Language
a new lease of life	The old oak table was another bargain, picked up for just £4 and given a new lease of life by Kim's mother.	If someone or something is given a new lease of life or a new lease on life, something makes them successful once again or improves their condition.   	Si a alguien o a algo se le da una nueva oportunidad de vida o una nueva oportunidad de vida, algo le hace volver a tener éxito o mejora su condición.	Spanish
a new lease of life	The old oak table was another bargain, picked up for just £4 and given a new lease of life by Kim's mother.	If someone or something is given a new lease of life or a new lease on life, something makes them successful once again or improves their condition.   	Wenn jemandem oder etwas ein neues Leben oder ein neues Leben geschenkt wird, macht etwas ihn wieder erfolgreich oder verbessert seinen Zustand.	German
on the record	Please turn the voice recorder off—I don't want these comments on the record.	Recorded for official publication; formally and publicly. Often hyphenated.  	Grabado para publicación oficial; formal y públicamente. A menudo con guiones.	Spanish
on the record	Please turn the voice recorder off—I don't want these comments on the record.	Recorded for official publication; formally and publicly. Often hyphenated.  	Zur offiziellen Veröffentlichung aufgezeichnet; formell und öffentlich. Oft mit Bindestrich.	German
volte face	Everyone was surprised when the candidate made a complete volte-face on her stance on taxes.	A complete change of opinion or belief. The phrase comes from the Italian term voltafaccia, meaning "about-turn." 	Un cambio completo de opinión o creencia. La frase proviene del término italiano voltafaccia, que significa "giro".	Spanish
volte face	Everyone was surprised when the candidate made a complete volte-face on her stance on taxes.	A complete change of opinion or belief. The phrase comes from the Italian term voltafaccia, meaning "about-turn." 	Eine völlige Änderung der Meinung oder des Glaubens. Der Ausdruck kommt vom italienischen Begriff voltafaccia, was „Kehrtwende“ bedeutet.	German
glass ceiling	Many people believe that a glass ceiling exists within the tech industry because not many women hold prominent positions in the field.	The systemic discrimination likened to an invisible barrier against certain groups in the workplace, especially women, that prevents them from advancing. 	La discriminación sistémica se compara con una barrera invisible contra ciertos grupos en el lugar de trabajo, especialmente las mujeres, que les impide avanzar.	Spanish
glass ceiling	Many people believe that a glass ceiling exists within the tech industry because not many women hold prominent positions in the field.	The systemic discrimination likened to an invisible barrier against certain groups in the workplace, especially women, that prevents them from advancing. 	Die systemische Diskriminierung wird mit einer unsichtbaren Barriere gegen bestimmte Gruppen am Arbeitsplatz, insbesondere Frauen, verglichen, die sie am Aufstieg hindert.	German
gut feeling	Jennifer's mother had a gut feeling that something was wrong when her daughter wasn't home by 10 o'clock.	An intuition or instinct, as opposed to an opinion based on a logical analysis. 	Una intuición o instinto, a diferencia de una opinión basada en un análisis lógico.	Spanish
gut feeling	Jennifer's mother had a gut feeling that something was wrong when her daughter wasn't home by 10 o'clock.	An intuition or instinct, as opposed to an opinion based on a logical analysis. 	Eine Intuition oder ein Instinkt, im Gegensatz zu einer Meinung, die auf einer logischen Analyse basiert.	German
love child	The candidate's campaign was in jeopardy after the media uncovered a love child he had with his secret mistress.	A child born to parents who are not married. 	Un niño nacido de padres que no están casados.	Spanish
love child	The candidate's campaign was in jeopardy after the media uncovered a love child he had with his secret mistress.	A child born to parents who are not married. 	Ein Kind, dessen Eltern nicht verheiratet sind.	German
all the way	 I’d like one double cheeseburger—all the way.	mod. with everything on it, as with a hamburger.   see also go all the way. 	modificación. con todo encima, como si fuera una hamburguesa. ver también ir hasta el final.	Spanish
all the way	 I’d like one double cheeseburger—all the way.	mod. with everything on it, as with a hamburger.   see also go all the way. 	Mod. mit allem drauf, wie bei einem Hamburger. siehe auch den ganzen Weg gehen.	German
so far so good	A: "How's the project going?" B: "So far, so good. We just need to finalize the user interface."	Everything is satisfactory or developing as planned up to the current point or moment in time. 	Todo es satisfactorio o se desarrolla según lo previsto hasta el momento actual.	Spanish
so far so good	A: "How's the project going?" B: "So far, so good. We just need to finalize the user interface."	Everything is satisfactory or developing as planned up to the current point or moment in time. 	Bis zum aktuellen Zeitpunkt ist alles zufriedenstellend oder entwickelt sich wie geplant.	German
about face	She did an about-face and walked back up the steps once she saw that the subway wasn't running.	suddenly and completely turn or change one's direction. This phrase can describe one's physical movement or a change in concept.  	Girar o cambiar de dirección repentina y completamente. Esta frase puede describir el movimiento físico de una persona o un cambio de concepto.	Spanish
about face	She did an about-face and walked back up the steps once she saw that the subway wasn't running.	suddenly and completely turn or change one's direction. This phrase can describe one's physical movement or a change in concept.  	sich plötzlich und vollständig umdrehen oder die Richtung ändern. Dieser Satz kann die körperliche Bewegung einer Person oder eine Änderung des Konzepts beschreiben.	German
many happy returns	Hey Jack, many happy returns! Are you going to do anything special to celebrate the occasion?	I wish you a very happy birthday and many more in the future. ?	Te deseo un muy feliz cumpleaños y muchos más en el futuro. ?	Spanish
many happy returns	Hey Jack, many happy returns! Are you going to do anything special to celebrate the occasion?	I wish you a very happy birthday and many more in the future. ?	Ich wünsche dir alles Gute zum Geburtstag und noch viel mehr für die Zukunft. ?	German
ray of sunshine	My best friend was a real ray of sunshine when I was recovering from surgery.	Someone or something that makes others feel happy and positive, often during a difficult time. 	Alguien o algo que hace que los demás se sientan felices y positivos, a menudo durante un momento difícil.	Spanish
ray of sunshine	My best friend was a real ray of sunshine when I was recovering from surgery.	Someone or something that makes others feel happy and positive, often during a difficult time. 	Jemand oder etwas, das anderen ein glückliches und positives Gefühl gibt, oft in einer schwierigen Zeit.	German
off the hook	Thanks for getting me off the hook. I didn't want to attend that meeting.	freed from an obligation. Alludes to a fish freeing itself from a fishhook. *Typically: be ~; get ~; get someone ~; let someone ~.  	liberado de una obligación. Alude a un pez liberándose de un anzuelo. *Típicamente: ser ~; obtener ~; conseguir a alguien ~; deja que alguien ~.	Spanish
off the hook	Thanks for getting me off the hook. I didn't want to attend that meeting.	freed from an obligation. Alludes to a fish freeing itself from a fishhook. *Typically: be ~; get ~; get someone ~; let someone ~.  	von einer Verpflichtung befreit. Spielt auf einen Fisch an, der sich aus einem Angelhaken befreit. *Typischerweise: be ~; Holen Sie sich ~; jemanden holen ~; lass jemanden ~.	German
